2019-10-21-02:36:00+0000 1.11581 1.11581 1.11574 1.11574 0.00013 12
2019-10-21-02:37:00+0000 1.11576 1.11576 1.11570 1.11570 0.00012 12
2019-10-21-02:38:00+0000 1.11567 1.11576 1.11566 1.11571 0.00013 21
2019-10-21-02:39:00+0000 1.11572 1.11576 1.11570 1.11575 0.00013 13
2019-10-21-02:40:00+0000 1.11577 1.11580 1.11569 1.11570 0.00013 24
2019-10-21-02:41:00+0000 1.11571 1.11575 1.11571 1.11571 0.00013 14
2019-10-21-02:42:00+0000 1.11569 1.11579 1.11569 1.11576 0.00014 18
2019-10-21-02:43:00+0000 1.11577 1.11581 1.11575 1.11580 0.00013 15
2019-10-21-02:44:00+0000 1.11581 1.11581 1.11580 1.11581 0.00013 5
2019-10-21-02:45:00+0000 1.11582 1.11587 1.11582 1.11586 0.00014 8
2019-10-21-02:46:00+0000 1.11588 1.11592 1.11588 1.11591 0.00013 5
2019-10-21-02:47:00+0000 1.11590 1.11591 1.11586 1.11587 0.00012 11
2019-10-21-02:48:00+0000 1.11588 1.11590 1.11588 1.11588 0.00013 7
2019-10-21-02:49:00+0000 1.11589 1.11592 1.11587 1.11592 0.00013 19
2019-10-21-02:50:00+0000 1.11594 1.11595 1.11591 1.11595 0.00013 16
2019-10-21-02:51:00+0000 1.11594 1.11597 1.11592 1.11597 0.00013 11
2019-10-21-02:52:00+0000 1.11599 1.11627 1.11599 1.11612 0.00013 81
2019-10-21-02:53:00+0000 1.11612 1.11614 1.11607 1.11607 0.00013 31
2019-10-21-02:54:00+0000 1.11608 1.11621 1.11606 1.11612 0.00013 65
2019-10-21-02:55:00+0000 1.11610 1.11620 1.11605 1.11610 0.00014 63
2019-10-21-02:56:00+0000 1.11611 1.11611 1.11609 1.11610 0.00013 6
2019-10-21-02:57:00+0000 1.11612 1.11616 1.11611 1.11616 0.00012 10
2019-10-21-02:58:00+0000 1.11614 1.11615 1.11612 1.11614 0.00014 15
2019-10-21-02:59:00+0000 1.11616 1.11616 1.11614 1.11615 0.00012 5
2019-10-21-03:00:00+0000 1.11616 1.11616 1.11610 1.11614 0.00013 18
2019-10-21-03:01:00+0000 1.11615 1.11615 1.11598 1.11598 0.00013 35
2019-10-21-03:02:00+0000 1.11599 1.11600 1.11591 1.11592 0.00013 23
2019-10-21-03:03:00+0000 1.11591 1.11592 1.11577 1.11578 0.00014 36
2019-10-21-03:04:00+0000 1.11580 1.11583 1.11572 1.11574 0.00013 22
2019-10-21-03:05:00+0000 1.11573 1.11574 1.11573 1.11574 0.00012 4
2019-10-21-03:06:00+0000 1.11572 1.11576 1.11568 1.11568 0.00014 19
2019-10-21-03:07:00+0000 1.11569 1.11574 1.11567 1.11573 0.00013 26
2019-10-21-03:08:00+0000 1.11571 1.11574 1.11568 1.11569 0.00013 28
2019-10-21-03:09:00+0000 1.11568 1.11573 1.11568 1.11573 0.00013 14
2019-10-21-03:10:00+0000 1.11574 1.11575 1.11569 1.11570 0.00014 18
2019-10-21-03:11:00+0000 1.11572 1.11576 1.11570 1.11571 0.00013 21
2019-10-21-03:12:00+0000 1.11570 1.11573 1.11569 1.11572 0.00012 11
2019-10-21-03:13:00+0000 1.11573 1.11575 1.11569 1.11570 0.00013 23
2019-10-21-03:14:00+0000 1.11569 1.11574 1.11569 1.11572 0.00012 10
2019-10-21-03:15:00+0000 1.11570 1.11574 1.11569 1.11574 0.00013 13
2019-10-21-03:16:00+0000 1.11572 1.11574 1.11569 1.11573 0.00012 15
2019-10-21-03:17:00+0000 1.11572 1.11572 1.11568 1.11569 0.00012 25
2019-10-21-03:18:00+0000 1.11570 1.11572 1.11568 1.11572 0.00014 25
2019-10-21-03:19:00+0000 1.11571 1.11571 1.11570 1.11570 0.00013 3
2019-10-21-03:20:00+0000 1.11570 1.11580 1.11570 1.11579 0.00014 14
2019-10-21-03:21:00+0000 1.11579 1.11582 1.11577 1.11578 0.00012 17
2019-10-21-03:22:00+0000 1.11577 1.11577 1.11573 1.11574 0.00013 5
2019-10-21-03:23:00+0000 1.11572 1.11578 1.11568 1.11573 0.00013 20
2019-10-21-03:24:00+0000 1.11576 1.11576 1.11573 1.11574 0.00013 12
2019-10-21-03:25:00+0000 1.11574 1.11574 1.11574 1.11574 0.00012 2
2019-10-21-03:26:00+0000 1.11572 1.11574 1.11571 1.11573 0.00013 12
2019-10-21-03:27:00+0000 1.11572 1.11573 1.11571 1.11573 0.00013 8
2019-10-21-03:28:00+0000 1.11571 1.11571 1.11546 1.11550 0.00014 50
2019-10-21-03:29:00+0000 1.11551 1.11561 1.11550 1.11554 0.00013 44
2019-10-21-03:30:00+0000 1.11553 1.11557 1.11553 1.11553 0.00013 41
2019-10-21-03:31:00+0000 1.11553 1.11553 1.11538 1.11543 0.00012 31
2019-10-21-03:32:00+0000 1.11545 1.11547 1.11539 1.11547 0.00013 31
2019-10-21-03:33:00+0000 1.11548 1.11558 1.11548 1.11556 0.00012 25
2019-10-21-03:34:00+0000 1.11558 1.11568 1.11555 1.11565 0.00013 24
2019-10-21-03:35:00+0000 1.11566 1.11568 1.11559 1.11559 0.00013 10
2019-10-21-03:36:00+0000 1.11561 1.11564 1.11559 1.11564 0.00014 14
2019-10-21-03:37:00+0000 1.11564 1.11569 1.11561 1.11564 0.00012 24
2019-10-21-03:38:00+0000 1.11562 1.11565 1.11560 1.11560 0.00013 9
2019-10-21-03:39:00+0000 1.11558 1.11562 1.11558 1.11560 0.00014 8
2019-10-21-03:40:00+0000 1.11559 1.11559 1.11553 1.11553 0.00013 16
2019-10-21-03:41:00+0000 1.11552 1.11555 1.11550 1.11554 0.00013 12
2019-10-21-03:42:00+0000 1.11555 1.11556 1.11551 1.11556 0.00013 14
2019-10-21-03:43:00+0000 1.11555 1.11555 1.11553 1.11553 0.00013 7
2019-10-21-03:44:00+0000 1.11551 1.11557 1.11550 1.11554 0.00013 24
2019-10-21-03:45:00+0000 1.11553 1.11556 1.11553 1.11556 0.00013 4
2019-10-21-03:46:00+0000 1.11554 1.11560 1.11553 1.11559 0.00013 16
2019-10-21-03:47:00+0000 1.11560 1.11560 1.11554 1.11554 0.00013 12
2019-10-21-03:48:00+0000 1.11555 1.11558 1.11554 1.11558 0.00013 17
2019-10-21-03:49:00+0000 1.11558 1.11561 1.11557 1.11561 0.00013 11
2019-10-21-03:50:00+0000 1.11561 1.11561 1.11561 1.11561 0.00011 1
2019-10-21-03:51:00+0000 1.11560 1.11560 1.11552 1.11553 0.00012 11
2019-10-21-03:52:00+0000 1.11555 1.11556 1.11552 1.11553 0.00012 10
2019-10-21-03:53:00+0000 1.11554 1.11555 1.11552 1.11555 0.00013 10
2019-10-21-03:54:00+0000 1.11558 1.11560 1.11558 1.11559 0.00012 8
2019-10-21-03:55:00+0000 1.11560 1.11564 1.11559 1.11560 0.00013 21
2019-10-21-03:56:00+0000 1.11562 1.11563 1.11560 1.11561 0.00013 9
2019-10-21-03:57:00+0000 1.11560 1.11568 1.11560 1.11567 0.00013 7
2019-10-21-03:58:00+0000 1.11567 1.11567 1.11564 1.11564 0.00013 8
